targa,cliente_id,marca,modello,versione,motore,telaio,data_immatricolazione,data_revisione,note,raw_promek
2P84037,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Ducato (4ª serie),Ducato 30 2.3 MJT PC-TN Furgone,F1AE0481D,ZFA25000002P84037,,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Ducato (4ª serie)"", ""versione_orig"": ""Ducato 30 2.3 MJT PC-TN Furgone""}"
2T95332,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Ducato (4ª serie),Ducato 33 2.2 MJT PM-TN Furgone,4HV,ZFA25000002T95332,2021-11-06,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Ducato (4ª serie)"", ""versione_orig"": ""Ducato 33 2.2 MJT PM-TN Furgone"", ""altro"": ""33 MJ L3H2""}"
2T98001,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Ducato (4ª serie),Ducato 33 2.2 MJT PM-TN Furgone,4HV,ZFA25000002T98001,2021-11-06,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Ducato (4ª serie)"", ""versione_orig"": ""Ducato 33 2.2 MJT PM-TN Furgone"", ""altro"": ""L3H2""}"
2U00665,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Ducato (4ª serie),Ducato 33 2.2 MJT PM-TN Furgone,4HV,ZFA25000002U00665,2021-11-06,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Ducato (4ª serie)"", ""versione_orig"": ""Ducato 33 2.2 MJT PM-TN Furgone"", ""altro"": ""L3H2 MAXI""}"
2U03811,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Ducato (4ª serie),Ducato 33 2.2 MJT PM-TN Furgone,4HV,ZFA25000002U03811,2021-11-06,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Ducato (4ª serie)"", ""versione_orig"": ""Ducato 33 2.2 MJT PM-TN Furgone""}"
2U08886,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Ducato (4ª serie),Ducato 35 2.2 MJT PLM-TA Furgone,4HV,ZFA25000002U08886,2021-11-06,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Ducato (4ª serie)"", ""versione_orig"": ""Ducato 35 2.2 MJT PLM-TA Furgone"", ""altro"": ""L4H2 2.2 H3-POWER""}"
2U40348,9cb3befc-3537-4982-ad7d-e2a253e66eee,FIAT,Ducato (4ª serie),Ducato 35 2.3 MJT 160CV PLM-SL-TM Furg.,F1AGL4112,ZFA25000002U40348,,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Ducato (4ª serie)"", ""versione_orig"": ""Ducato 35 2.3 MJT 160CV PLM-SL-TM Furg."", ""altro"": ""pl-sl 160cv""}"
2U73485,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Ducato (4ª serie),Ducato 35 2.3 MJT 140CV PLM-TM Furgone,F1AGL4113,ZFA25000002U73485,,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Ducato (4ª serie)"", ""versione_orig"": ""Ducato 35 2.3 MJT 140CV PLM-TM Furgone"", ""altro"": ""L3H2""}"
2U73521,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Ducato (4ª serie),Ducato 35 2.3 MJT 140CV PLM-SL-TM Furg.,F1AGL4113,ZFA25000002U73521,,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Ducato (4ª serie)"", ""versione_orig"": ""Ducato 35 2.3 MJT 140CV PLM-SL-TM Furg."", ""altro"": ""L4H2""}"
3298736919,607414d4-76b1-431e-a34c-e2c5ee52224e,KIA,Picanto,1,G4HE,KNABA24329T697557,2009-06-24,2018-06-23,,"{""marca_orig"": ""Kia"", ""modello_orig"": ""Picanto"", ""versione_orig"": ""1""}"
69142,43c8686f-d266-481f-95b3-057175359cd3,FIAT,Ducato (4ª serie),Ducato 35 2.3 MJT 130CV PM-TN Furg. Maxi,F1AGL411D,ZFA25000002R69142,,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Ducato (4ª serie)"", ""versione_orig"": ""Ducato 35 2.3 MJT 130CV PM-TN Furg. Maxi""}"
6V26895,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Doblò 3ª serie,Doblò 1.6MJT 105 PL-TN Cargo Maxi Lam.SX,263A8000,ZFA26300006V26895,2021-11-15,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Doblò 3ª serie"", ""versione_orig"": ""Doblò 1.6MJT 105 PL-TN Cargo Maxi Lam.SX"", ""altro"": ""CARGO MAXI XL L2H2 1.6 MJ 105 CV SX""}"
6V29938,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Doblò 3ª serie,Doblò 1.6 MJT 105 PL-TN Cargo Maxi Lam.,263A8000,ZFA26300006V29938,2021-11-15,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Doblò 3ª serie"", ""versione_orig"": ""Doblò 1.6 MJT 105 PL-TN Cargo Maxi Lam."", ""altro"": ""CARGO MAXI XL L2H2 1.6 MJ 105CV SX""}"
6V30769,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Doblò 3ª serie,Doblò 1.3 MJT PC-TN Cargo Lamierato,330A1000,ZFA26300006V30769,2021-11-06,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Doblò 3ª serie"", ""versione_orig"": ""Doblò 1.3 MJT PC-TN Cargo Lamierato"", ""altro"": ""CARGO 1.3 MJ 90CV L1H1 S""}"
6V33799,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Doblò 3ª serie,Doblò 1.3 MJT PC-TN Cargo Lamierato,330A1000,ZFA26300006V33799,2021-11-06,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Doblò 3ª serie"", ""versione_orig"": ""Doblò 1.3 MJT PC-TN Cargo Lamierato""}"
6V33921,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Doblò 3ª serie,Doblò 1.3 MJT PC-TN Cargo Lamierato,330A1000,ZFA26300006V33921,2021-11-06,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Doblò 3ª serie"", ""versione_orig"": ""Doblò 1.3 MJT PC-TN Cargo Lamierato"", ""altro"": ""CARGO 1.3 MJ 90CV L1H1 S""}"
6V70333,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Fiorino 2ª serie,Fiorino 1.3 MJT 80CV Cargo,55283775,ZFA22500006V70333,2021-12-06,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Fiorino 2ª serie"", ""versione_orig"": ""Fiorino 1.3 MJT 80CV Cargo"", ""altro"": ""CARGO 1.3 MJT 80KM ELEGANT""}"
6V71107,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Fiorino 2ª serie,Fiorino 1.3 MJT 80CV Cargo,55283775,ZFA22500006V71107,2021-12-06,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Fiorino 2ª serie"", ""versione_orig"": ""Fiorino 1.3 MJT 80CV Cargo"", ""altro"": ""1.3 MJT 80KM ELEGANT""}"
6V74789,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Fiorino 2ª serie,Fiorino 1.3 MJT 80CV Cargo,55283775,ZFA22500006V74789,2021-12-06,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Fiorino 2ª serie"", ""versione_orig"": ""Fiorino 1.3 MJT 80CV Cargo"", ""altro"": ""1.3 MJT 80KM BUSINESS PRO""}"
6V75313,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Fiorino 2ª serie,Fiorino 1.3 MJT 80CV Cargo,55283775,ZFA22500006V75313,2021-12-06,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Fiorino 2ª serie"", ""versione_orig"": ""Fiorino 1.3 MJT 80CV Cargo"", ""altro"": ""CARGO 1.3 MJT 80KM BUSINESS PRO""}"
6V75338,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Fiorino 2ª serie,Fiorino 1.3 MJT 80CV Cargo,225A2000,ZFA22500006V75338,2021-12-06,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Fiorino 2ª serie"", ""versione_orig"": ""Fiorino 1.3 MJT 80CV Cargo"", ""altro"": ""CARGO 1.3 MJT 80KM BUSINESS PRO""}"
6V75393,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Fiorino 2ª serie,Fiorino 1.3 MJT 80CV Cargo SX,225A2000,ZFA22500006V75393,2021-12-20,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Fiorino 2ª serie"", ""versione_orig"": ""Fiorino 1.3 MJT 80CV Cargo SX"", ""altro"": ""BUSINESS PRO""}"
6V75417,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Fiorino 2ª serie,Fiorino 1.3 MJT 80CV Cargo SX,225A2000,ZFA22500006V75417,2021-12-20,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Fiorino 2ª serie"", ""versione_orig"": ""Fiorino 1.3 MJT 80CV Cargo SX"", ""altro"": ""BUSINESS PRO""}"
6W15716,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Fiorino 2ª serie,Fiorino 1.3 MJT 80CV Cargo,55283775,ZFA22500006W15716,,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Fiorino 2ª serie"", ""versione_orig"": ""Fiorino 1.3 MJT 80CV Cargo"", ""altro"": ""BUSINESS PRO""}"
6W17066,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Fiorino 2ª serie,Fiorino 1.3 MJT 80CV Cargo,55283775,ZFA22500006W17066,,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Fiorino 2ª serie"", ""versione_orig"": ""Fiorino 1.3 MJT 80CV Cargo"", ""altro"": ""BUSINESS PRO""}"
6W21264,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Fiorino 2ª serie,Fiorino 1.3 MJT 80CV Cargo,55283775,ZFA22500006W21264,,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Fiorino 2ª serie"", ""versione_orig"": ""Fiorino 1.3 MJT 80CV Cargo"", ""altro"": ""BUSINESS PRO""}"
6W21422,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Fiorino 2ª serie,Fiorino 1.3 MJT 80CV Cargo,55283775,ZFA22500006W21422,,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Fiorino 2ª serie"", ""versione_orig"": ""Fiorino 1.3 MJT 80CV Cargo"", ""altro"": ""BUSINESS PRO""}"
6W21678,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Fiorino 2ª serie,Fiorino 1.3 MJT 80CV Cargo,55283775,ZFA22500006W21678,,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Fiorino 2ª serie"", ""versione_orig"": ""Fiorino 1.3 MJT 80CV Cargo"", ""altro"": ""BUSINESS PRO""}"
6W21689,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Fiorino 2ª serie,Fiorino 1.3 MJT 80CV Cargo,55283775,ZFA22500006W21689,,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Fiorino 2ª serie"", ""versione_orig"": ""Fiorino 1.3 MJT 80CV Cargo"", ""altro"": ""BUSINESS PRO""}"
6W34793,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Doblò 3ª serie,Doblò 1.6 MJT 105 PL-TN Cargo Maxi Lam.,263A8000,ZFA26300006W34793,,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Doblò 3ª serie"", ""versione_orig"": ""Doblò 1.6 MJT 105 PL-TN Cargo Maxi Lam."", ""altro"": ""L2H1""}"
6W34866,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Doblò 3ª serie,Doblò 1.6 MJT 105 PL-TN Cargo Maxi Lam.,198A3000,ZFA26300006W34866,,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Doblò 3ª serie"", ""versione_orig"": ""Doblò 1.6 MJT 105 PL-TN Cargo Maxi Lam."", ""altro"": ""L2H1""}"
AA448YN,7b4c56ab-bd5d-4447-ae32-b8779d8f21b9,AUDI,A3 2ª serie,A3 1.9 TDI Ambition,"BLS,BKC",WAUZZZ8P67A179763,,,,"{""marca_orig"": ""AUDI"", ""modello_orig"": ""A3 2ª serie"", ""versione_orig"": ""A3 1.9 TDI Ambition""}"
AA611GL,536e4fe8-7e8e-460a-9c15-b6ce2a1215a3,MERCEDES-BENZ,Classe SL    (R129),SL 280,104943,WDB1290631F104161,1994-08-04,2018-08-28,,"{""marca_orig"": ""MERCEDES-BENZ"", ""modello_orig"": ""Classe SL    (R129)"", ""versione_orig"": ""SL 280""}"
AAT920,2b213e15-983b-4145-b267-60666385a1c4,FIAT,Ducato,33 3.0 Multijet KH1,F1ACE0481D,,,,,"{""marca_orig"": ""Fiat"", ""modello_orig"": ""Ducato"", ""versione_orig"": ""33 3.0 Multijet KH1""}"
AB804ZA,5fb4b940-162e-4ea7-8e20-c328c8e68ff6,IVECO,Daily (1996-2001),Daily 30.8 2.5 D PC Cabinato Basic,814067F,ZCFC3550102114212,1994-09-02,2020-06-12,,"{""marca_orig"": ""IVECO"", ""modello_orig"": ""Daily (1996-2001)"", ""versione_orig"": ""Daily 30.8 2.5 D PC Cabinato Basic""}"
AC018MR,50f4b467-c392-4960-8251-9d00097b8ea7,RENAULT,Clio,1.2,D7F730,VF1B57R0512799130,1995-03-10,2017-08-25,,"{""marca_orig"": ""Renault"", ""modello_orig"": ""Clio"", ""versione_orig"": ""1.2""}"
AD564WE,8e2197ef-8389-4bf9-999a-963ef776350d,FIAT,barchetta,1.8,"188A6000,183A1000",ZFA18300000002804,1995-04-14,2024-09-27,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""barchetta"", ""versione_orig"": ""1.8""}"
AD585KF,b73fe5a5-7c90-482c-80b6-ac3ea466102d,NISSAN,Pick-up,2.5 D 2p. King Cab,TD25,JN1KRMD21U0436358,1994-09-29,,,"{""marca_orig"": ""NISSAN"", ""modello_orig"": ""Pick-up"", ""versione_orig"": ""2.5 D 2p. King Cab""}"
AD692GY,294cb02c-a211-4c4e-8321-19038f454ae5,TOYOTA,Celica,1.6 STi,4AFE,JT164ATJ000066687,1994-11-22,2014-12-09,,"{""marca_orig"": ""Toyota"", ""modello_orig"": ""Celica"", ""versione_orig"": ""1.6 STi""}"
AE486FK,14bff9ef-dd18-4b3c-abba-80c4f116384d,,,,,1J4GZB8YXSY504354,1995-02-17,2014-12-20,,"{""altro"": ""JEEP GRAND CHEROKEE 5.2 4x4""}"
AF295WC,67474699-4b33-4ece-9b5d-665b69855e83,IVECO,Daily (1996-2001),Daily 30.8 2.5 D PC Cabinato Basic,814067F,ZCFC3350102136390,1995-04-21,2020-09-12,,"{""marca_orig"": ""IVECO"", ""modello_orig"": ""Daily (1996-2001)"", ""versione_orig"": ""Daily 30.8 2.5 D PC Cabinato Basic"", ""altro"": ""55kw""}"
AF363SL,a705e087-3a59-48e8-b092-407afb9470e6,FIAT,Panda 1ª serie,1100 i.e. 4x4 Country Club,176B2000,ZFA141A0001265904,1996-09-25,2025-01-07,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Panda 1ª serie"", ""versione_orig"": ""1100 i.e. 4x4 Country Club""}"
AF432XD,a8281174-3e76-4f2a-8bb0-0b87e83ac9b9,MERCEDES-BENZ,Classe C,C200 2.0 Classic,111945,WDB2020201A320804,1998-02-03,2015-09-04,,"{""marca_orig"": ""Mercedes"", ""modello_orig"": ""Classe C"", ""versione_orig"": ""C200 2.0 Classic""}"
AF466ZZ,1351a974-8cbb-42ca-9c6c-e908822b39be,TOYOTA,Hilux 3ª serie,,,,,,,"{""marca_orig"": ""TOYOTA"", ""modello_orig"": ""Hilux 3ª serie""}"
AF795XL,c4da416b-0dfa-41bd-beed-0896a851ade5,ALFA ROMEO,Spider,2.0 iE,AR01590,,,,,"{""marca_orig"": ""Alfa romeo"", ""modello_orig"": ""Spider"", ""versione_orig"": ""2.0 iE""}"
AF824XX,af99d496-a58f-41de-8c8d-5fedff68b27b,ISUZU,,,,JAANPR65LV7100048,1996-12-20,2022-08-02,,"{""marca_orig"": ""ISUZU"", ""altro"": ""LIMITED NPR 65L 3 5 CASSONATO CON GRU""}"
AG582TZ,e3d57bc1-e43d-4a62-80dc-eefcf4451c6e,MERCEDES-BENZ,Vito,113 2.0,111948,VSA63811413004114,1996-01-01,2014-10-16,,"{""marca_orig"": ""Mercedes"", ""modello_orig"": ""Vito"", ""versione_orig"": ""113 2.0""}"
AG676LH,a0942a9f-c708-41e4-aee7-1dfd57dc4d74,MERCEDES-BENZ,Serie E      (*124),E 200 Coupé,111940,WDB1240401C225250,1995-06-01,2018-02-26,,"{""marca_orig"": ""MERCEDES-BENZ"", ""modello_orig"": ""Serie E      (*124)"", ""versione_orig"": ""E 200 Coupé""}"
AJ909PH,ddaaedbb-0493-4a2d-8a72-eecbd28b1e6a,SAAB,900 2ª serie,900 2.0i 16V 5p. SE,B206I,YS3DC75J7S7023054,1995-07-07,2018-05-22,,"{""marca_orig"": ""SAAB"", ""modello_orig"": ""900 2ª serie"", ""versione_orig"": ""900 2.0i 16V 5p. SE"", ""altro"": ""CABRIO tipo mot.B204I 96KW""}"
AK081NS,2579c968-7cb5-43ab-8a18-39ec7ebb0a10,,,,,ZCFC3570105121886,1996-12-03,2015-01-22,,"{""altro"": ""IVECO DAILY II 35-10 K""}"
AL740740,f3b7e8c1-8ad3-4ff1-8e02-16e018a96819,NISSAN,,,,VSKEE1111NA720890,1993-03-19,,,"{""marca_orig"": ""NISSAN"", ""altro"": ""TRADE""}"
AM161EX,6f18e8dd-dbb8-4d3e-986b-2c184fa2523f,FORD,Fiesta,1.2,ZH12DHA,,,,,"{""marca_orig"": ""Ford"", ""modello_orig"": ""Fiesta"", ""versione_orig"": ""1.2""}"
AM569TF,e9a088cb-ece9-4355-8ae7-fdad7154099d,BMW,Z3,1.8 Roadster,18400,WBACJ11080LA72870,1997-03-19,2022-07-08,,"{""marca_orig"": ""BMW"", ""modello_orig"": ""Z3"", ""versione_orig"": ""1.8 Roadster""}"
AN004LK,cfb54165-0855-49cf-aee6-b76cba460994,FIAT,Punto,1.7 TD S,176B7000,ZFA17600000731169,1997-02-21,2017-02-28,,"{""marca_orig"": ""Fiat"", ""modello_orig"": ""Punto"", ""versione_orig"": ""1.7 TD S""}"
AN155JL,91839815-1416-4d3c-ac7f-598f8813177c,BMW,Serie 3,316i 1.6,M43164E2,,1997-01-01,,,"{""marca_orig"": ""Bmw"", ""modello_orig"": ""Serie 3"", ""versione_orig"": ""316i 1.6""}"
AN278JM,a9dad405-e45b-4970-b85f-819c35a3d219,HONDA,Civic 6ª serie,Civic 1.4i 16V 3p. S,D14A4,JHMEJ93400S118213,1997-02-04,2015-12-03,,"{""marca_orig"": ""HONDA"", ""modello_orig"": ""Civic 6ª serie"", ""versione_orig"": ""Civic 1.4i 16V 3p. S""}"
AN307JW,68db87b7-8c84-40ce-95bf-194190a22586,FIAT,Marea,1.6 16V SX,182A4000,ZFA18500000076695,1997-03-18,2021-07-15,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Marea"", ""versione_orig"": ""1.6 16V SX""}"
AN313BL,c67bf3ff-07a3-4c3a-b1f0-9aae0c4b7576,FIAT,Punto,1.1 55,176B2000,ZFA17600004420452,1997-01-21,2016-01-13,,"{""marca_orig"": ""Fiat"", ""modello_orig"": ""Punto"", ""versione_orig"": ""1.1 55""}"
AN364BL,301766b3-ec11-44cf-9acc-989ccba4b7fc,IVECO,Daily (1996-2001),Daily 35.8 2.5 D PL Cab. Basic,814067F,ZCFC3561002197955,1997-01-23,2021-02-26,,"{""marca_orig"": ""IVECO"", ""modello_orig"": ""Daily (1996-2001)"", ""versione_orig"": ""Daily 35.8 2.5 D PL Cab. Basic""}"
AN545BT,9bd85aeb-472d-46b0-b944-d524d65c40f2,OPEL,Corsa,1.2,C12NZ,W0L000073V6104813,1997-04-16,2017-04-26,,"{""marca_orig"": ""Opel"", ""modello_orig"": ""Corsa"", ""versione_orig"": ""1.2""}"
AN574TP,c7a0c740-41a3-4a8c-b95f-48342a5e3ca4,PIAGGIO,Porter 1ª/2ª serie,,,ZAPS8500000106317,1997-01-16,,,"{""marca_orig"": ""PIAGGIO"", ""modello_orig"": ""Porter 1ª/2ª serie"", ""altro"": ""993 cc - 35 kw - MOT. DAIHATSUCB42""}"
AN598BN,7c698e27-9e18-4519-a662-47ff7f7e134f,MERCEDES-BENZ,Vito 1ªs.    (W638),Vito 108 D Furgone,601942,VSA63806413003338,1996-11-29,,,"{""marca_orig"": ""MERCEDES-BENZ"", ""modello_orig"": ""Vito 1ªs.    (W638)"", ""versione_orig"": ""Vito 108 D Furgone""}"
AN641LB,cb25cd1b-ebde-40db-b54e-51d33462e4aa,AUDI,A4,1.8 Turbo (quattro),AEB,WAUZZZ8DZVA014446,1996-12-11,2014-12-16,,"{""marca_orig"": ""Audi"", ""modello_orig"": ""A4"", ""versione_orig"": ""1.8 Turbo (quattro)""}"
AN654CB,fa3c9138-7f79-4dc0-b285-53d21f698b3e,FIAT,Punto,1.1 55,176B2000,ZFA17600000789386,1997-03-24,2015-08-07,,"{""marca_orig"": ""Fiat"", ""modello_orig"": ""Punto"", ""versione_orig"": ""1.1 55""}"
ANW626,36d59a53-a6a7-4062-9a5f-85f6155aa73e,PEUGEOT,308,1.6 e-HDi,DV6C,VF3LCBHZHFS097381,2015-05-28,,,"{""marca_orig"": ""Peugeot"", ""modello_orig"": ""308"", ""versione_orig"": ""1.6 e-HDi""}"
AP051XM,da13c08b-787f-46cc-a82f-036d4e5c6c25,OPEL,Corsa 2ª serie,Corsa 1.2i 3p. Viva,12NZ,W0L000073V6152012,1997-08-08,2019-10-17,,"{""marca_orig"": ""OPEL"", ""modello_orig"": ""Corsa 2ª serie"", ""versione_orig"": ""Corsa 1.2i 3p. Viva""}"
AP100RM,df0c1eae-017d-4290-a5c5-9ab5c20932d9,VOLKSWAGEN,Golf 4ª serie,Golf 1.6 5p.,"AKL,AEH",WVWZZZ1JZWP050595,1998-03-09,2022-03-16,,"{""marca_orig"": ""VOLKSWAGEN"", ""modello_orig"": ""Golf 4ª serie"", ""versione_orig"": ""Golf 1.6 5p.""}"
AP164PH,a34daff7-0458-4739-be52-6f57ccc7250b,VOLKSWAGEN,Polo,1,AER,,,,,"{""marca_orig"": ""Volkswagen"", ""modello_orig"": ""Polo"", ""versione_orig"": ""1""}"
AP369NH,58b547c3-217b-4455-bc49-af2c65bfe717,,,,,SAXXWMBZSBD921455,1997-06-02,2015-08-03,,"{""altro"": ""ROVER 200 cabrio 216 1.6i 16V""}"
AP382NZ,bfc9e032-9405-41b6-80f6-f45d86450ec6,MERCEDES-BENZ,Sprinter 1ªs.(W903),Sprinter F35/35 312 TDI Furgone,602980,WDB9044131P763783,1998-01-16,2018-11-27,,"{""marca_orig"": ""MERCEDES-BENZ"", ""modello_orig"": ""Sprinter 1ªs.(W903)"", ""versione_orig"": ""Sprinter F35/35 312 TDI Furgone"", ""altro"": ""412""}"
AP389PZ,f3d8d0d1-64a4-4787-9d68-9c3da94484c2,SEAT,Ibiza,1.4,AEX,VSSZZZ6KZWR042753,1997-12-23,,,"{""marca_orig"": ""Seat"", ""modello_orig"": ""Ibiza"", ""versione_orig"": ""1.4""}"
AP396HN,58b547c3-217b-4455-bc49-af2c65bfe717,,,,,SAXXWMBZSBD921455,1997-06-02,2015-08-03,,"{""altro"": ""ROVER CABRIOLET 216 1.6i 16V""}"
AP396NH,58b547c3-217b-4455-bc49-af2c65bfe717,,,,,SAXXWMBZSBD921455,1997-06-02,2015-08-03,,"{""altro"": ""ROVER CABRIOLET 216 1.6i 16V""}"
AP511RJ,e9a088cb-ece9-4355-8ae7-fdad7154099d,FIAT,Panda 1ª serie,900 i.e.,1170A1046,ZFA141A0001439356,1998-02-20,2021-01-08,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Panda 1ª serie"", ""versione_orig"": ""900 i.e.""}"
AP534PR,77337fa4-e42e-4c3a-a2b4-53b9ceb94e0a,OPEL,Vectra,2.0 DTi,X20DTH,W0L0JBF35W7000622,1997-10-01,2015-01-12,,"{""marca_orig"": ""Opel"", ""modello_orig"": ""Vectra"", ""versione_orig"": ""2.0 DTi""}"
